room,x,y,z,dist,correlation,diff,beacon,present
Lecture Hall XXVI,40.0,23.0,4.4,3.61,0.88,11.25,2.64,False
Ground Floor Lobby,34.0,10.0,1.5,22.86,0.86,37.72,22.39,False
1st Floor East Corridor,29.0,8.0,4.4,19.03,0.57,32.36,19.42,False
Ground Floor Lobby,45.0,17.0,1.5,28.01,0.71,37.25,19.39,False
1st Floor Lobby,38.0,11.0,4.4,11.18,0.89,21.79,9.34,False
Lab 104,8.0,28.0,4.4,23.32,0.22,35.93,22.66,False
1st Floor Lobby,38.0,20.0,4.4,5.1,0.88,49.28,23.64,False
Ground Floor East Corridor,7.0,8.0,1.5,18.23,1.0,26.67,16.14,False
Lab 103,15.0,28.0,4.4,17.69,0.67,30.54,15.66,False
2nd Floor East Corridor,27.0,8.0,7.6,26.67,0.25,57.05,37.42,False
1st Floor Lobby,33.0,20.0,4.4,36.24,0.0,58.85,37.42,False
2nd Floor Lobby,36.0,13.0,7.6,29.0,0.57,48.44,28.4,False
1st Floor Lobby,36.0,16.0,4.4,15.62,1.0,35.51,20.97,False
Office 107b,2.0,5.0,4.4,40.31,0.0,44.92,28.36,False
Lab 101,31.0,24.0,4.4,4.24,1.0,26.68,11.42,False
Ground Floor East Corridor,15.0,9.0,1.5,15.05,0.22,44.85,22.66,False
Ground Floor East Corridor,20.0,9.0,1.5,14.91,0.29,51.73,28.4,False
2nd Floor Lobby,42.0,11.0,7.6,21.5,1.0,27.04,13.42,False
Lab 104,2.0,25.0,4.4,26.08,0.29,38.43,19.42,False
Lab 103,24.0,22.0,4.4,29.83,0.0,58.85,37.42,False
1st Floor Lobby,30.0,16.0,4.4,11.18,0.71,33.18,19.42,False
Lab 101,33.0,26.0,4.4,34.44,0.2,40.88,19.33,False
1st Floor North Corridor,9.0,11.0,4.4,7.0,1.0,26.33,10.67,False
2nd Floor Lobby,35.0,15.0,7.6,36.2,0.0,58.85,37.42,False
Lab 103,13.0,25.0,4.4,25.06,0.5,51.98,32.42,False
Lecture Hall XXVI,45.0,28.0,4.4,50.61,0.0,58.85,37.42,False
Lecture Hall XXVI,41.0,23.0,4.4,34.13,0.67,9.47,3.14,False
1st Floor Lobby,33.0,15.0,4.4,28.23,0.67,14.03,7.14,False
Lab 103,15.0,26.0,4.4,19.85,0.5,42.74,13.33,False
Lab 103,16.0,25.0,4.4,26.63,0.0,58.85,37.42,False
Lecture Hall XXVI,48.0,24.0,4.4,47.8,0.2,41.97,19.33,False
1st Floor East Corridor,6.0,9.0,4.4,28.43,0.29,38.74,19.42,False
1st Floor East Corridor,23.0,8.0,4.4,22.02,0.75,29.78,18.36,False
1st Floor Lobby,35.0,8.0,4.4,33.29,0.67,15.15,9.14,False
Ground Floor Lobby,47.0,17.0,1.5,41.1,0.67,23.21,20.14,False
Lecture Hall 205,4.0,10.0,7.6,45.81,0.2,36.55,23.03,False
Lab 103,14.0,27.0,4.4,7.07,1.0,16.61,10.86,False
2nd Floor North Corridor,9.0,12.0,7.6,19.68,0.33,37.42,22.66,False
2nd Floor East Corridor,8.0,7.0,7.6,8.67,1.0,49.76,32.42,False
1st Floor Lobby,38.0,11.0,4.4,37.85,0.0,58.85,37.42,False
Ground Floor East Corridor,16.0,7.0,1.5,21.22,0.33,28.91,20.14,False
Lecture Hall XXVI,44.0,24.0,4.4,47.85,0.0,58.85,37.42,False
2nd Floor West Corridor,6.0,19.0,7.6,31.74,0.75,38.37,23.36,False
Lab 102,27.0,23.0,4.4,8.94,0.86,19.91,5.39,False
2nd Floor Lobby,30.0,20.0,7.6,18.17,0.6,31.05,12.03,False
Lab 102,28.0,24.0,4.4,21.1,0.67,7.93,0.14,False
Lab 102,27.0,25.0,4.4,34.06,0.0,58.85,37.42,False
Ground Floor Lobby,42.0,9.0,1.5,19.63,1.0,16.18,3.03,False
Lecture Hall XXVI,48.0,25.0,4.4,21.93,0.44,28.88,0.34,False
2nd Floor Lobby,42.0,20.0,7.6,41.12,0.4,38.04,19.33,False
2nd Floor North Corridor,9.0,11.0,7.6,2.83,1.0,21.06,11.6,False
Ground Floor Lobby,49.0,20.0,1.5,22.33,0.57,33.05,19.42,False
Lecture Hall 205,7.0,11.0,7.6,5.94,0.9,50.77,13.33,False
Lab 104,9.0,23.0,4.4,37.34,0.2,34.73,23.03,False
Lab 104,1.0,24.0,4.4,18.25,0.43,22.91,8.39,False
1st Floor Lobby,37.0,14.0,4.4,15.81,0.71,41.67,19.42,False
Ground Floor East Corridor,11.0,8.0,1.5,25.66,0.0,43.29,19.42,False
2nd Floor West Corridor,23.0,21.0,7.6,7.89,0.86,34.56,14.39,False
2nd Floor Lobby,31.0,21.0,7.6,25.3,0.71,45.51,24.4,False
2nd Floor West Corridor,24.0,19.0,7.6,23.98,0.6,33.28,15.03,False
Lecture Hall 205,6.0,11.0,7.6,27.39,0.43,38.53,19.42,False
Ground Floor West Corridor,6.0,19.0,1.5,41.1,0.4,36.29,21.03,False
Ground Floor West Corridor,33.0,19.0,1.5,9.87,0.29,37.73,19.42,False
Office 107b,3.0,4.0,4.4,28.02,0.0,42.94,26.39,False
Ground Floor Lobby,49.0,18.0,1.5,47.61,0.4,41.12,19.33,False
Lab 103,15.0,23.0,4.4,8.54,1.0,24.41,15.86,False
Lecture Hall XXVI,40.0,23.0,4.4,39.85,0.2,38.66,19.33,False
2nd Floor North Corridor,8.0,18.0,7.6,9.76,0.6,46.18,19.33,False
1st Floor West Corridor,11.0,19.0,4.4,17.26,0.89,45.37,6.66,False
1st Floor East Corridor,15.0,8.0,4.4,13.34,0.6,40.34,19.33,False
2nd Floor Lobby,34.0,12.0,7.6,34.35,0.25,58.11,37.42,False
1st Floor North Corridor,8.0,14.0,4.4,23.85,0.43,41.01,19.42,False
Ground Floor East Corridor,7.0,9.0,1.5,27.81,0.14,42.67,19.42,False
2nd Floor East Corridor,20.0,7.0,7.6,33.57,1.0,23.82,10.03,False
2nd Floor Lobby,39.0,18.0,7.6,22.16,0.57,54.9,23.39,False
1st Floor Lobby,30.0,15.0,4.4,25.5,0.67,14.57,8.14,False
2nd Floor Lobby,40.0,17.0,7.6,12.46,0.78,37.04,5.66,False
2nd Floor East Corridor,2.0,8.0,7.6,7.07,0.43,34.95,12.4,False
Office 107b,1.0,2.0,4.4,24.74,0.0,29.55,20.14,False
Ground Floor East Corridor,25.0,9.0,1.5,24.93,0.33,28.91,20.14,False
1st Floor Lobby,37.0,17.0,4.4,35.51,0.3,38.63,19.33,False
Lab 104,8.0,27.0,4.4,22.83,0.22,35.98,22.66,False
Ground Floor West Corridor,4.0,19.0,1.5,24.36,0.33,37.55,22.66,False
1st Floor West Corridor,4.0,20.0,4.4,17.26,0.0,58.85,37.42,False
2nd Floor Lobby,37.0,15.0,7.6,9.6,0.78,29.72,10.66,False
Lecture Hall XXVI,46.0,27.0,4.4,21.1,0.44,31.83,8.66,False
1st Floor Lobby,38.0,11.0,4.4,34.44,1.0,7.85,3.14,False
Lab 115,27.0,18.0,4.4,20.86,0.43,51.02,28.4,False
1st Floor Lobby,33.0,15.0,4.4,18.44,0.86,48.83,13.39,False
1st Floor Lobby,34.0,18.0,4.4,17.49,0.71,45.59,7.39,False
2nd Floor East Corridor,14.0,7.0,7.6,24.62,0.14,42.85,18.42,False
1st Floor East Corridor,26.0,9.0,4.4,7.28,0.78,25.9,2.34,False
2nd Floor Lobby,38.0,18.0,7.6,32.18,0.67,30.9,25.14,False
2nd Floor Lobby,40.0,20.0,7.6,22.37,0.57,40.95,26.39,False
1st Floor Lobby,38.0,10.0,4.4,19.7,1.0,41.11,13.97,False
1st Floor Lobby,32.0,15.0,4.4,27.31,0.67,17.01,11.14,False
2nd Floor Lobby,36.0,20.0,7.6,18.66,0.71,39.09,22.39,False
2nd Floor West Corridor,12.0,21.0,7.6,17.39,0.57,34.3,11.42,False
2nd Floor Lobby,40.0,13.0,7.6,35.61,0.0,29.55,20.14,False
2nd Floor East Corridor,19.0,8.0,7.6,21.87,0.0,29.55,20.14,False
Lab 102,28.0,26.0,4.4,9.06,0.86,22.55,6.39,False
1st Floor West Corridor,10.0,20.0,4.4,27.46,0.62,65.33,15.36,False
1st Floor Lobby,29.0,18.0,4.4,23.41,1.0,17.95,11.86,False
2nd Floor Lobby,32.0,18.0,7.6,30.97,0.4,42.86,19.33,False
Ground Floor Lobby,49.0,19.0,1.5,31.18,0.71,34.82,20.39,False
1st Floor East Corridor,5.0,9.0,4.4,24.04,0.33,36.8,22.66,False
Ground Floor East Corridor,30.0,8.0,1.5,22.15,0.57,43.78,26.39,False
Ground Floor Lobby,35.0,13.0,1.5,33.19,0.2,41.07,19.33,False
Ground Floor Lobby,40.0,15.0,1.5,14.61,1.0,27.33,6.03,False
Lecture Hall XXVI,49.0,27.0,4.4,12.17,0.62,22.61,13.36,False
Lecture Hall 205,3.0,13.0,7.6,36.2,0.5,43.56,28.36,False
Lab 103,10.0,24.0,4.4,19.7,0.67,30.58,18.66,False
Lecture Hall XXVI,41.0,25.0,4.4,13.15,0.57,42.62,19.42,False
1st Floor Lobby,40.0,14.0,4.4,15.23,1.0,22.31,13.97,False
Lab 103,16.0,23.0,4.4,9.49,1.0,13.75,7.86,False
1st Floor East Corridor,15.0,9.0,4.4,36.36,0.6,20.17,10.03,False
1st Floor East Corridor,10.0,8.0,4.4,18.25,0.67,14.57,8.14,False
1st Floor West Corridor,7.0,20.0,4.4,39.81,0.6,27.6,13.03,False
Lab 115,22.0,16.0,4.4,24.7,0.0,58.85,37.42,False
1st Floor Lobby,34.0,8.0,4.4,17.26,0.88,26.62,10.64,False
1st Floor Lobby,34.0,16.0,4.4,9.49,1.0,23.46,6.64,False
2nd Floor West Corridor,5.0,20.0,7.6,32.55,0.75,42.25,22.36,False
Ground Floor East Corridor,5.0,8.0,1.5,29.97,0.0,43.29,19.42,False
Lab 102,28.0,23.0,4.4,7.0,0.89,25.18,5.66,False
Ground Floor East Corridor,13.0,9.0,1.5,13.73,1.0,40.67,28.42,False
2nd Floor West Corridor,10.0,19.0,7.6,27.84,0.38,47.92,28.36,False
2nd Floor West Corridor,17.0,19.0,7.6,11.84,0.56,42.57,18.66,False
Ground Floor Lobby,43.0,13.0,1.5,38.39,0.67,27.36,17.14,False
Ground Floor Lobby,42.0,10.0,1.5,28.75,0.86,27.83,16.39,False
1st Floor East Corridor,17.0,9.0,4.4,13.04,0.78,25.78,3.66,False
Lab 106,6.0,13.0,4.4,19.1,0.43,29.03,15.39,False
2nd Floor West Corridor,9.0,21.0,7.6,19.96,0.25,57.85,37.42,False
Lecture Hall 205,5.0,12.0,7.6,14.5,0.67,26.4,20.14,False
Office 107b,1.0,3.0,4.4,36.12,0.0,43.29,19.42,False
1st Floor East Corridor,10.0,9.0,4.4,20.12,0.43,21.08,3.39,False
1st Floor Lobby,39.0,16.0,4.4,22.83,0.86,42.65,11.39,False
Lecture Hall XXVI,48.0,24.0,4.4,21.54,0.67,29.78,8.66,False
Ground Floor East Corridor,19.0,8.0,1.5,33.73,0.8,33.19,20.03,False
2nd Floor East Corridor,13.0,8.0,7.6,29.58,0.25,44.26,28.36,False
Lecture Hall XXVI,41.0,22.0,4.4,5.0,1.0,16.65,9.36,False
2nd Floor East Corridor,6.0,9.0,7.6,28.6,0.29,40.71,19.42,False
1st Floor East Corridor,5.0,8.0,4.4,6.4,1.0,8.69,5.42,False
Lab 103,18.0,27.0,4.4,22.63,0.4,38.95,19.33,False
2nd Floor West Corridor,21.0,19.0,7.6,26.76,0.6,31.06,16.03,False
Ground Floor West Corridor,24.0,20.0,1.5,18.26,1.0,31.38,3.14,False
Ground Floor Lobby,44.0,18.0,1.5,10.6,1.0,21.83,7.03,False
2nd Floor Lobby,34.0,12.0,7.6,20.25,1.0,39.89,3.97,False
Lecture Hall XXVI,44.0,28.0,4.4,45.31,0.2,43.28,19.33,False
2nd Floor Lobby,42.0,8.0,7.6,35.36,0.57,49.7,28.4,False
Ground Floor Lobby,47.0,10.0,1.5,20.13,0.56,35.91,0.66,False
Lecture Hall 205,1.0,10.0,7.6,3.5,0.9,39.61,9.33,False
Ground Floor East Corridor,22.0,8.0,1.5,21.78,0.0,58.85,37.42,False
2nd Floor Lobby,42.0,14.0,7.6,35.01,0.86,45.65,28.4,False
Lab 101,32.0,24.0,4.4,13.34,0.71,35.68,19.39,False
2nd Floor West Corridor,13.0,21.0,7.6,16.13,0.67,33.66,14.66,False
Lab 104,3.0,26.0,4.4,25.02,0.29,38.25,19.42,False
1st Floor East Corridor,7.0,7.0,4.4,22.85,0.33,40.79,22.66,False
Lab 104,4.0,24.0,4.4,13.15,0.3,38.65,19.33,False
Ground Floor North Corridor,9.0,12.0,1.5,31.01,0.25,44.02,28.36,False
1st Floor West Corridor,23.0,20.0,4.4,27.8,0.0,58.85,37.42,False
Lecture Hall XXVI,43.0,23.0,4.4,42.72,0.2,39.55,19.33,False
Ground Floor Lobby,48.0,10.0,1.5,26.41,1.0,36.11,17.42,False
Ground Floor East Corridor,4.0,7.0,1.5,31.38,0.29,42.06,19.42,False
Ground Floor East Corridor,24.0,7.0,1.5,22.55,0.3,48.03,19.33,False
Ground Floor West Corridor,19.0,19.0,1.5,12.39,0.43,34.15,19.42,False
2nd Floor Lobby,31.0,21.0,7.6,7.43,0.57,31.59,11.58,False
1st Floor East Corridor,20.0,9.0,4.4,18.03,0.14,44.16,26.39,False
2nd Floor East Corridor,10.0,7.0,7.6,32.61,0.12,44.16,28.36,False
2nd Floor West Corridor,17.0,19.0,7.6,11.66,1.0,48.0,22.4,False
2nd Floor Lobby,41.0,18.0,7.6,34.37,0.57,42.93,28.4,False
1st Floor Lobby,42.0,18.0,4.4,43.66,0.0,58.85,37.42,False
Ground Floor North Corridor,8.0,14.0,1.5,17.27,0.43,30.12,14.39,False
Lecture Hall XXVI,45.0,26.0,4.4,8.06,0.62,20.12,9.36,False
Lab 104,8.0,27.0,4.4,29.07,0.25,45.8,28.36,False
Lab 104,5.0,23.0,4.4,23.35,0.57,39.52,19.42,False
2nd Floor Lobby,42.0,7.0,7.6,16.95,0.78,31.09,8.66,False
Ground Floor Lobby,44.0,12.0,1.5,22.12,0.86,24.67,4.42,False
Office 107b,4.0,1.0,4.4,10.2,0.8,42.39,22.67,False
Office 107b,3.0,6.0,4.4,8.67,0.57,39.62,3.4,False
2nd Floor West Corridor,13.0,19.0,7.6,24.94,0.5,54.4,28.36,False
Ground Floor Lobby,45.0,16.0,1.5,39.4,1.0,25.27,14.14,False
Ground Floor East Corridor,4.0,9.0,1.5,7.89,0.29,43.26,23.4,False
Ground Floor East Corridor,30.0,7.0,1.5,20.31,0.43,34.38,2.42,False
Ground Floor Lobby,49.0,8.0,1.5,45.79,0.67,28.19,19.14,False
Lecture Hall XXVI,41.0,26.0,4.4,16.4,0.56,28.07,0.66,False
2nd Floor Lobby,41.0,21.0,7.6,23.03,0.43,41.65,26.39,False
2nd Floor Lobby,35.0,18.0,7.6,28.44,1.0,43.34,22.4,False
1st Floor Lobby,36.0,19.0,4.4,8.54,0.78,53.74,28.34,False
1st Floor West Corridor,23.0,19.0,4.4,22.47,0.5,40.36,19.33,False
2nd Floor Lobby,37.0,15.0,7.6,38.08,0.0,58.85,37.42,False
Ground Floor Lobby,37.0,9.0,1.5,16.26,0.62,44.72,12.36,False
Lab 101,38.0,27.0,4.4,19.0,0.29,60.47,26.39,False
Lab 102,28.0,27.0,4.4,21.02,0.67,10.31,5.14,False
Ground Floor Lobby,48.0,12.0,1.5,17.27,1.0,16.9,8.36,False
2nd Floor Lobby,37.0,7.0,7.6,22.16,0.57,27.16,2.58,False
1st Floor East Corridor,9.0,8.0,4.4,6.26,0.86,37.61,22.4,False
2nd Floor Lobby,40.0,10.0,7.6,36.81,0.33,27.59,20.14,False
1st Floor Lobby,42.0,20.0,4.4,44.38,0.0,58.85,37.42,False
Lab 104,2.0,28.0,4.4,44.0,0.0,37.56,23.03,False
Lab 115,26.0,16.0,4.4,13.04,0.86,29.19,10.39,False
Ground Floor East Corridor,7.0,7.0,1.5,44.39,0.2,36.2,23.03,False
2nd Floor East Corridor,7.0,8.0,7.6,5.0,1.0,19.83,10.6,False
Ground Floor Lobby,47.0,16.0,1.5,13.76,0.88,31.1,6.36,False
Ground Floor East Corridor,34.0,9.0,1.5,9.66,0.56,43.84,7.66,False
1st Floor Lobby,32.0,15.0,4.4,33.24,0.0,58.85,37.42,False
Lab 101,31.0,22.0,4.4,31.02,0.2,39.74,19.33,False
Lab 115,25.0,16.0,4.4,15.0,1.0,25.53,14.36,False
Lecture Hall 205,5.0,14.0,7.6,26.61,0.43,35.68,19.42,False
Ground Floor Lobby,42.0,10.0,1.5,15.51,0.78,26.89,8.66,False
Ground Floor North Corridor,8.0,16.0,1.5,10.46,1.0,24.18,5.14,False
Ground Floor Lobby,36.0,7.0,1.5,30.24,0.14,50.85,28.4,False
Lecture Hall XXVI,49.0,28.0,4.4,44.71,0.14,50.85,28.4,False
Lecture Hall XXVI,47.0,24.0,4.4,20.62,0.67,21.27,3.66,False
2nd Floor Lobby,37.0,15.0,7.6,21.87,0.71,26.75,14.39,False
1st Floor Lobby,36.0,9.0,4.4,34.06,0.5,37.56,19.33,False
2nd Floor West Corridor,8.0,21.0,7.6,29.45,0.5,54.95,28.36,False
2nd Floor Lobby,31.0,16.0,7.6,29.6,0.3,42.64,19.33,False
2nd Floor East Corridor,9.0,9.0,7.6,10.5,0.75,50.06,31.42,False
Lab 102,25.0,25.0,4.4,6.32,1.0,20.32,6.39,False
Lab 104,3.0,28.0,4.4,34.13,0.25,48.95,28.36,False
Lecture Hall XXVI,46.0,27.0,4.4,27.0,0.29,42.09,26.39,False
2nd Floor Lobby,33.0,17.0,7.6,27.7,0.0,29.55,20.14,False
Ground Floor Lobby,36.0,10.0,1.5,34.14,0.2,41.26,19.33,False
Ground Floor Lobby,48.0,17.0,1.5,30.81,0.86,33.02,20.39,False
Lab 103,23.0,28.0,4.4,16.12,1.0,10.49,6.86,False
Ground Floor West Corridor,5.0,20.0,1.5,23.52,0.56,38.49,22.66,False
2nd Floor Lobby,34.0,13.0,7.6,20.77,0.71,42.86,23.39,False
Ground Floor North Corridor,8.0,15.0,1.5,16.54,0.43,30.6,13.39,False
Lab 104,5.0,28.0,4.4,15.47,0.29,50.46,28.4,False
Ground Floor East Corridor,14.0,7.0,1.5,24.58,0.14,40.89,19.42,False
Lecture Hall 205,2.0,13.0,7.6,26.37,0.22,37.43,22.66,False
2nd Floor Lobby,35.0,16.0,7.6,19.68,0.71,40.3,24.39,False
2nd Floor North Corridor,8.0,17.0,7.6,20.28,0.44,35.26,22.66,False
1st Floor Lobby,38.0,11.0,4.4,36.0,0.5,37.58,19.33,False
2nd Floor East Corridor,8.0,9.0,7.6,27.1,0.29,38.27,19.42,False
Ground Floor Lobby,43.0,9.0,1.5,19.45,1.0,22.66,0.97,False
Lecture Hall XXVI,44.0,25.0,4.4,16.12,0.57,38.25,19.42,False
2nd Floor East Corridor,3.0,9.0,7.6,5.66,0.57,31.22,1.6,False
Lecture Hall XXVI,41.0,27.0,4.4,42.15,0.0,42.89,19.33,False
Lab 103,18.0,28.0,4.4,28.0,0.4,26.8,14.03,False
Ground Floor Lobby,46.0,19.0,1.5,39.73,1.0,27.33,16.14,False
Lab 104,9.0,23.0,4.4,10.69,0.43,50.47,28.4,False
2nd Floor Lobby,37.0,12.0,7.6,13.39,1.0,30.08,10.36,False
1st Floor West Corridor,5.0,20.0,4.4,15.65,0.71,16.98,4.61,False
1st Floor West Corridor,5.0,20.0,4.4,7.95,0.57,52.07,28.4,False
Lecture Hall 205,2.0,10.0,7.6,47.65,0.2,36.34,23.03,False
Ground Floor Lobby,37.0,16.0,1.5,38.39,0.0,58.85,37.42,False
Office 107b,1.0,4.0,4.4,29.55,0.0,44.45,22.66,False
Lab 103,20.0,26.0,4.4,18.66,0.29,53.99,28.4,False
Lab 103,11.0,22.0,4.4,26.17,0.62,56.46,18.36,False
Lab 101,29.0,26.0,4.4,22.0,0.67,26.87,17.14,False
1st Floor Lobby,36.0,8.0,4.4,20.62,0.57,49.53,19.42,False
2nd Floor Lobby,39.0,21.0,7.6,38.46,0.1,41.97,19.33,False
Ground Floor West Corridor,10.0,20.0,1.5,9.76,0.29,53.18,28.4,False
1st Floor West Corridor,17.0,20.0,4.4,13.04,1.0,37.89,13.42,False
Ground Floor Lobby,43.0,13.0,1.5,15.57,0.67,38.44,6.66,False
Lab 103,14.0,27.0,4.4,14.0,0.86,45.19,19.42,False
Ground Floor Lobby,38.0,15.0,1.5,33.02,0.33,33.16,25.14,False
Lecture Hall XXVI,39.0,25.0,4.4,39.56,0.2,39.25,19.33,False
2nd Floor West Corridor,15.0,19.0,7.6,23.03,0.5,44.43,28.36,False
2nd Floor Lobby,42.0,8.0,7.6,16.44,0.78,38.02,3.66,False
Lab 101,34.0,25.0,4.4,27.02,0.67,18.12,8.14,False
Lab 103,17.0,24.0,4.4,20.02,0.62,43.73,18.36,False
Ground Floor East Corridor,30.0,8.0,1.5,29.35,0.33,28.75,20.14,False
2nd Floor East Corridor,14.0,9.0,7.6,14.67,0.75,49.46,32.42,False
Lab 103,23.0,22.0,4.4,14.32,0.75,29.29,13.36,False
Ground Floor North Corridor,9.0,18.0,1.5,29.01,0.38,45.47,28.36,False
1st Floor West Corridor,24.0,20.0,4.4,8.06,1.0,27.67,8.42,False
2nd Floor East Corridor,7.0,8.0,7.6,18.28,0.67,15.77,10.14,False
Office 107b,4.0,4.0,4.4,48.37,0.0,37.56,23.03,False
2nd Floor West Corridor,9.0,19.0,7.6,7.95,1.0,5.32,1.86,False
Lecture Hall XXVI,45.0,26.0,4.4,45.54,0.0,42.89,19.33,False
1st Floor Lobby,39.0,12.0,4.4,39.05,0.0,58.85,37.42,False
Ground Floor East Corridor,1.0,9.0,1.5,3.66,0.5,38.97,13.33,False
Lab 103,18.0,24.0,4.4,19.03,0.62,38.82,20.36,False
Ground Floor East Corridor,12.0,7.0,1.5,9.91,0.43,48.82,28.4,False
1st Floor Lobby,35.0,16.0,4.4,7.0,1.0,31.87,13.34,False
2nd Floor West Corridor,19.0,20.0,7.6,19.5,0.5,39.64,19.33,False
Ground Floor Lobby,42.0,12.0,1.5,35.54,0.43,48.84,28.4,False
1st Floor West Corridor,18.0,20.0,4.4,7.07,1.0,25.04,11.61,False
Ground Floor Lobby,48.0,7.0,1.5,45.28,0.67,25.5,15.14,False
2nd Floor West Corridor,4.0,20.0,7.6,7.62,1.0,20.28,3.4,False
Ground Floor West Corridor,25.0,20.0,1.5,29.55,0.0,58.85,37.42,False
Ground Floor Lobby,35.0,10.0,1.5,32.38,1.0,18.1,14.14,False
1st Floor West Corridor,15.0,20.0,4.4,22.56,0.75,47.28,13.36,False
1st Floor Lobby,33.0,8.0,4.4,32.39,0.0,58.85,37.42,False
Lab 104,2.0,23.0,4.4,35.06,0.38,45.8,28.36,False
2nd Floor East Corridor,5.0,7.0,7.6,24.9,0.0,44.45,22.66,False
Ground Floor Lobby,49.0,9.0,1.5,47.13,0.3,40.04,19.33,False
Lab 104,4.0,24.0,4.4,11.84,0.29,50.46,28.4,False
Lecture Hall XXVI,41.0,27.0,4.4,34.01,0.0,29.55,20.14,False
Ground Floor Lobby,47.0,9.0,1.5,43.56,1.0,24.96,18.14,False
Lab 101,29.0,22.0,4.4,22.36,0.67,8.78,2.14,False
Ground Floor Lobby,36.0,8.0,1.5,34.26,0.33,28.75,20.14,False
Ground Floor Lobby,50.0,18.0,1.5,22.28,0.44,36.9,12.66,False
Ground Floor East Corridor,7.0,7.0,1.5,7.77,1.0,34.55,21.42,False
