room,x,y,z,dist,correlation,diff,beacon,present
Ground Floor East Corridor,30.0,8.0,1.5,8.74,0.56,41.85,1.66,False
Lecture Hall XXVI,41.0,23.0,4.4,14.76,0.78,16.14,6.34,False
2nd Floor Lobby,35.0,12.0,7.6,13.54,1.0,31.78,11.36,False
Lecture Hall 205,5.0,17.0,7.6,9.76,0.67,14.57,8.14,False
2nd Floor East Corridor,4.0,9.0,7.6,25.2,0.33,40.93,22.66,False
1st Floor West Corridor,2.0,20.0,4.4,44.72,0.4,21.3,8.03,False
Ground Floor East Corridor,33.0,8.0,1.5,31.76,0.67,29.18,21.14,False
2nd Floor East Corridor,9.0,9.0,7.6,20.5,0.56,39.86,22.66,False
Office 107b,2.0,6.0,4.4,20.62,0.67,31.6,21.14,False
Lab 106,5.0,12.0,4.4,14.14,1.0,6.62,3.14,False
2nd Floor East Corridor,13.0,8.0,7.6,19.24,0.33,27.59,17.14,False
1st Floor Lobby,41.0,11.0,4.4,40.79,0.0,58.85,37.42,False
Ground Floor Lobby,48.0,13.0,1.5,15.41,1.0,19.4,3.03,False
Lecture Hall XXVI,43.0,25.0,4.4,36.01,0.67,24.83,16.14,False
1st Floor Lobby,37.0,10.0,4.4,19.24,0.86,43.01,0.58,False
2nd Floor Lobby,40.0,18.0,7.6,12.09,1.0,22.28,4.03,False
1st Floor Lobby,39.0,9.0,4.4,20.25,1.0,33.8,12.97,False
Ground Floor West Corridor,8.0,19.0,1.5,17.7,0.0,58.85,37.42,False
Lab 101,37.0,26.0,4.4,30.0,0.67,18.9,12.14,False
Lab 102,27.0,25.0,4.4,20.02,0.67,19.66,14.14,False
Lecture Hall 205,2.0,12.0,7.6,46.93,0.2,36.7,23.03,False
2nd Floor Lobby,33.0,8.0,7.6,31.31,0.2,44.15,19.33,False
2nd Floor Lobby,33.0,16.0,7.6,31.56,0.1,41.82,19.33,False
Ground Floor East Corridor,26.0,9.0,1.5,19.63,0.38,35.59,21.36,False
Ground Floor Lobby,47.0,10.0,1.5,40.57,0.14,50.96,28.4,False
Lab 104,2.0,22.0,4.4,17.72,0.43,27.55,12.39,False
2nd Floor West Corridor,23.0,19.0,7.6,17.09,1.0,40.79,25.4,False
Lecture Hall 205,3.0,11.0,7.6,29.85,0.29,40.05,19.42,False
2nd Floor Lobby,31.0,8.0,7.6,22.7,0.43,41.65,26.39,False
Ground Floor East Corridor,21.0,9.0,1.5,18.34,0.57,41.64,26.39,False
2nd Floor East Corridor,12.0,9.0,7.6,12.93,0.75,51.5,30.42,False
Lab 115,21.0,17.0,4.4,19.92,0.4,38.92,19.33,False
2nd Floor Lobby,30.0,16.0,7.6,15.88,0.43,53.33,26.39,False
Ground Floor West Corridor,22.0,19.0,1.5,21.73,0.4,41.43,19.33,False
Ground Floor East Corridor,12.0,8.0,1.5,9.34,0.14,46.82,28.4,False
2nd Floor Lobby,30.0,21.0,7.6,8.67,0.88,43.36,17.36,False
Ground Floor East Corridor,3.0,8.0,1.5,6.12,0.5,58.26,35.42,False
1st Floor West Corridor,27.0,20.0,4.4,7.07,1.0,23.25,5.42,False
Lab 104,1.0,23.0,4.4,12.09,0.29,52.23,28.4,False
2nd Floor Lobby,32.0,15.0,7.6,30.43,0.2,43.38,19.33,False
Ground Floor West Corridor,7.0,20.0,1.5,22.33,0.43,36.82,19.42,False
Ground Floor North Corridor,8.0,15.0,1.5,7.77,0.7,39.43,12.33,False
Lab 103,20.0,25.0,4.4,29.07,0.0,58.85,37.42,False
2nd Floor Lobby,38.0,8.0,7.6,35.99,0.67,26.83,18.14,False
2nd Floor Lobby,31.0,21.0,7.6,16.86,1.0,32.33,9.03,False
Ground Floor East Corridor,16.0,8.0,1.5,22.66,0.43,40.75,18.42,False
2nd Floor East Corridor,18.0,8.0,7.6,16.59,0.3,54.73,19.33,False
1st Floor Lobby,31.0,8.0,4.4,25.0,1.0,19.51,10.97,False
Lecture Hall 205,4.0,12.0,7.6,35.61,0.25,43.89,28.36,False
Lab 115,28.0,18.0,4.4,9.0,0.86,28.25,19.42,False
Ground Floor Lobby,47.0,7.0,1.5,44.38,0.67,27.16,20.14,False
2nd Floor West Corridor,1.0,19.0,7.6,36.64,0.75,42.97,28.36,False
Ground Floor Lobby,49.0,8.0,1.5,20.43,1.0,22.59,6.97,False
Ground Floor Lobby,35.0,18.0,1.5,15.15,0.8,32.73,6.03,False
2nd Floor Lobby,35.0,7.0,7.6,23.92,1.0,32.0,14.03,False
Lab 103,14.0,28.0,4.4,23.19,0.62,46.41,21.36,False
Ground Floor Lobby,42.0,17.0,1.5,35.75,0.14,50.66,28.4,False
2nd Floor East Corridor,25.0,9.0,7.6,18.53,0.14,42.38,19.42,False
Ground Floor Lobby,45.0,11.0,1.5,17.96,0.56,31.15,6.66,False
1st Floor Lobby,39.0,14.0,4.4,32.18,0.43,49.75,28.4,False
1st Floor Lobby,34.0,19.0,4.4,6.71,1.0,31.94,14.64,False
Lecture Hall XXVI,41.0,28.0,4.4,5.0,0.75,11.84,2.64,False
Ground Floor East Corridor,6.0,7.0,1.5,7.03,1.0,40.17,25.42,False
1st Floor Lobby,40.0,15.0,4.4,40.8,0.0,58.85,37.42,False
Lecture Hall XXVI,39.0,22.0,4.4,33.4,0.43,49.2,28.4,False
Ground Floor West Corridor,7.0,20.0,1.5,14.19,0.57,28.32,5.39,False
Ground Floor North Corridor,9.0,18.0,1.5,38.44,0.2,36.05,23.03,False
Ground Floor Lobby,48.0,17.0,1.5,41.64,0.57,45.74,28.4,False
Lecture Hall 205,3.0,14.0,7.6,20.86,0.43,31.93,17.39,False
1st Floor Lobby,30.0,19.0,4.4,23.98,0.71,47.97,28.4,False
2nd Floor Lobby,37.0,7.0,7.6,36.36,0.25,58.34,37.42,False
Lab 101,33.0,25.0,4.4,26.02,0.67,22.16,14.14,False
Ground Floor East Corridor,23.0,9.0,1.5,18.91,0.57,32.73,5.42,False
Office 107b,4.0,1.0,4.4,25.18,0.67,28.19,19.14,False
Ground Floor Lobby,37.0,7.0,1.5,18.23,0.62,38.27,9.36,False
Lecture Hall XXVI,41.0,24.0,4.4,45.18,0.0,58.85,37.42,False
1st Floor Lobby,37.0,14.0,4.4,9.22,0.89,25.91,13.34,False
2nd Floor Lobby,31.0,9.0,7.6,24.42,0.8,29.12,2.97,False
1st Floor Lobby,40.0,10.0,4.4,15.3,1.0,33.81,15.64,False
Ground Floor Lobby,44.0,11.0,1.5,17.36,0.8,35.17,4.97,False
1st Floor East Corridor,24.0,8.0,4.4,29.73,0.6,24.4,12.03,False
Lecture Hall XXVI,42.0,25.0,4.4,23.09,0.57,46.66,20.39,False
Ground Floor West Corridor,9.0,20.0,1.5,37.97,0.2,36.42,23.03,False
Lab 103,14.0,25.0,4.4,23.0,0.38,56.89,28.36,False
1st Floor Lobby,42.0,14.0,4.4,35.16,0.57,47.04,28.4,False
Lab 115,28.0,15.0,4.4,22.2,0.8,21.55,11.97,False
1st Floor West Corridor,1.0,19.0,4.4,28.16,0.57,33.47,19.42,False
Lecture Hall 205,1.0,12.0,7.6,9.55,0.75,51.81,37.42,False
Lecture Hall 205,3.0,13.0,7.6,13.97,0.67,15.77,10.14,False
Ground Floor Lobby,37.0,15.0,1.5,30.68,0.29,51.2,28.4,False
Lab 104,6.0,23.0,4.4,12.65,1.0,26.59,9.33,False
Lab 104,5.0,26.0,4.4,15.3,0.6,33.42,12.33,False
2nd Floor West Corridor,21.0,19.0,7.6,15.23,0.86,40.44,28.4,False
Lab 103,16.0,26.0,4.4,21.02,0.5,51.79,28.36,False
Lecture Hall XXVI,44.0,25.0,4.4,44.27,0.2,40.18,19.33,False
2nd Floor North Corridor,8.0,17.0,7.6,15.98,0.5,56.03,37.42,False
1st Floor North Corridor,9.0,16.0,4.4,38.9,0.0,37.56,23.03,False
Lab 102,26.0,25.0,4.4,20.22,0.6,16.82,2.97,False
Lab 106,3.0,12.0,4.4,25.32,0.33,36.84,22.66,False
2nd Floor North Corridor,9.0,10.0,7.6,11.1,1.0,46.07,26.42,False
Lecture Hall 205,7.0,13.0,7.6,21.45,0.56,34.32,22.66,False
1st Floor East Corridor,26.0,9.0,4.4,19.42,0.75,15.36,1.36,False
Ground Floor East Corridor,5.0,8.0,1.5,45.71,0.2,36.63,23.03,False
1st Floor West Corridor,9.0,19.0,4.4,7.28,1.0,43.34,25.86,False
Ground Floor East Corridor,12.0,8.0,1.5,10.84,0.5,50.08,19.33,False
Ground Floor West Corridor,29.0,20.0,1.5,5.04,0.78,32.48,11.66,False
Ground Floor East Corridor,24.0,8.0,1.5,18.74,0.14,47.18,28.4,False
Lab 101,33.0,28.0,4.4,13.0,0.78,18.69,0.66,False
Lecture Hall 205,1.0,12.0,7.6,3.5,0.4,41.47,19.33,False
Ground Floor Lobby,39.0,9.0,1.5,20.46,1.0,38.94,14.03,False
Lab 106,6.0,12.0,4.4,26.63,0.29,38.26,19.42,False
Lecture Hall 205,6.0,15.0,7.6,11.5,0.67,9.5,1.14,False
Ground Floor Lobby,40.0,15.0,1.5,34.91,0.33,28.46,20.14,False
Ground Floor Lobby,48.0,16.0,1.5,20.21,0.78,34.39,4.66,False
2nd Floor North Corridor,8.0,10.0,7.6,21.12,0.44,37.66,22.66,False
2nd Floor Lobby,32.0,21.0,7.6,35.99,0.0,58.85,37.42,False
2nd Floor Lobby,36.0,16.0,7.6,29.15,0.71,49.05,28.4,False
Lab 115,23.0,17.0,4.4,25.5,0.6,22.7,9.03,False
2nd Floor West Corridor,17.0,20.0,7.6,30.25,0.2,36.91,23.03,False
Lecture Hall 205,1.0,16.0,7.6,37.25,0.5,43.57,28.36,False
2nd Floor West Corridor,19.0,19.0,7.6,24.29,0.0,58.85,37.42,False
Lab 104,3.0,26.0,4.4,43.05,0.0,37.56,23.03,False
2nd Floor West Corridor,2.0,19.0,7.6,19.06,0.57,24.82,11.39,False
2nd Floor West Corridor,20.0,19.0,7.6,11.76,0.86,30.92,4.42,False
Lab 103,14.0,26.0,4.4,26.42,0.0,58.85,37.42,False
Ground Floor Lobby,48.0,7.0,1.5,46.26,0.2,42.08,19.33,False
Ground Floor West Corridor,4.0,19.0,1.5,25.46,0.29,38.46,19.42,False
Lecture Hall XXVI,48.0,26.0,4.4,22.36,0.44,33.94,13.66,False
Lab 115,26.0,18.0,4.4,11.4,0.86,24.47,8.39,False
Ground Floor East Corridor,1.0,9.0,1.5,32.58,0.0,43.29,19.42,False
2nd Floor East Corridor,15.0,7.0,7.6,37.58,0.2,36.88,23.03,False
2nd Floor Lobby,41.0,13.0,7.6,26.27,0.71,34.17,21.39,False
Lab 103,23.0,27.0,4.4,14.14,0.62,39.26,21.36,False
2nd Floor Lobby,39.0,12.0,7.6,35.07,0.67,16.37,10.14,False
2nd Floor Lobby,38.0,17.0,7.6,10.55,0.78,36.05,5.66,False
1st Floor West Corridor,16.0,19.0,4.4,21.93,0.25,57.6,35.42,False
Ground Floor Lobby,39.0,8.0,1.5,27.74,0.29,41.84,26.39,False
Lab 103,19.0,22.0,4.4,10.3,0.86,31.58,19.42,False
1st Floor Lobby,39.0,16.0,4.4,9.22,0.88,23.69,6.64,False
Ground Floor West Corridor,25.0,19.0,1.5,19.53,0.67,27.85,20.14,False
Office 107b,3.0,2.0,4.4,24.33,0.67,27.52,18.14,False
Lecture Hall 205,1.0,16.0,7.6,29.33,0.43,41.35,19.42,False
Lab 103,16.0,27.0,4.4,9.06,1.0,10.29,5.86,False
Lab 103,11.0,27.0,4.4,26.08,0.5,47.17,24.36,False
1st Floor Lobby,34.0,12.0,4.4,21.21,0.57,48.97,24.39,False
2nd Floor East Corridor,7.0,8.0,7.6,8.44,1.0,44.32,25.42,False
Lab 102,27.0,23.0,4.4,10.2,0.75,32.27,12.36,False
2nd Floor Lobby,31.0,20.0,7.6,25.0,0.86,40.83,25.4,False
Lab 104,7.0,23.0,4.4,21.38,0.86,37.66,16.42,False
Ground Floor Lobby,40.0,13.0,1.5,33.56,0.14,50.78,28.4,False
Ground Floor North Corridor,9.0,13.0,1.5,13.47,1.0,28.32,14.14,False
Lecture Hall 205,5.0,16.0,7.6,10.69,0.67,10.75,5.14,False
2nd Floor East Corridor,26.0,9.0,7.6,18.39,0.0,43.29,19.42,False
Lab 101,31.0,23.0,4.4,36.06,0.0,58.85,37.42,False
Lab 101,36.0,24.0,4.4,17.26,0.71,47.59,20.39,False
2nd Floor Lobby,35.0,7.0,7.6,33.4,0.2,43.25,19.33,False
2nd Floor East Corridor,14.0,7.0,7.6,38.41,0.2,36.35,23.03,False
1st Floor Lobby,39.0,8.0,4.4,38.33,0.0,58.85,37.42,False
Lab 115,26.0,18.0,4.4,13.04,0.88,22.52,7.36,False
Ground Floor Lobby,46.0,14.0,1.5,18.34,0.56,36.66,4.66,False
2nd Floor Lobby,33.0,19.0,7.6,16.44,0.71,41.53,18.39,False
1st Floor Lobby,42.0,18.0,4.4,14.14,0.78,18.66,6.34,False
2nd Floor North Corridor,9.0,13.0,7.6,2.0,1.0,20.5,6.6,False
Ground Floor Lobby,38.0,11.0,1.5,19.01,0.8,35.99,5.03,False
Ground Floor Lobby,37.0,12.0,1.5,10.27,0.78,31.65,1.66,False
Lecture Hall 205,2.0,14.0,7.6,36.83,0.38,43.77,28.36,False
Ground Floor Lobby,44.0,14.0,1.5,42.21,0.3,41.2,19.33,False
Ground Floor West Corridor,34.0,19.0,1.5,28.32,0.29,49.7,28.4,False
Ground Floor East Corridor,33.0,7.0,1.5,32.33,0.0,29.55,20.14,False
Ground Floor Lobby,38.0,7.0,1.5,32.16,0.14,50.78,28.4,False
Ground Floor West Corridor,2.0,19.0,1.5,8.51,0.4,41.11,19.33,False
Ground Floor East Corridor,0.0,8.0,1.5,19.53,0.33,28.73,20.14,False
2nd Floor East Corridor,3.0,9.0,7.6,30.97,0.0,43.29,19.42,False
Lab 115,21.0,17.0,4.4,27.31,1.0,16.09,9.03,False
1st Floor North Corridor,8.0,18.0,4.4,9.22,1.0,48.52,14.33,False
2nd Floor Lobby,36.0,15.0,7.6,16.71,1.0,28.06,2.97,False
Ground Floor West Corridor,13.0,19.0,1.5,10.45,0.43,50.56,28.4,False
2nd Floor Lobby,33.0,16.0,7.6,28.04,0.0,29.55,20.14,False
Ground Floor Lobby,45.0,19.0,1.5,19.01,0.86,31.69,6.42,False
1st Floor East Corridor,3.0,8.0,4.4,7.16,0.86,34.15,14.4,False
2nd Floor East Corridor,18.0,8.0,7.6,25.7,0.12,46.21,28.36,False
Ground Floor Lobby,36.0,9.0,1.5,16.29,0.75,37.09,15.36,False
Ground Floor Lobby,49.0,10.0,1.5,19.43,0.62,23.69,5.36,False
2nd Floor East Corridor,15.0,8.0,7.6,19.68,0.29,38.73,22.39,False
Lecture Hall 205,3.0,12.0,7.6,29.33,0.43,37.07,19.42,False
Ground Floor West Corridor,29.0,19.0,1.5,13.13,0.71,39.91,26.39,False
1st Floor Lobby,36.0,10.0,4.4,20.59,1.0,42.42,19.97,False
Ground Floor Lobby,35.0,18.0,1.5,11.76,0.57,30.18,9.42,False
Ground Floor Lobby,48.0,8.0,1.5,20.31,1.0,15.17,7.03,False
Lab 102,25.0,27.0,4.4,28.02,0.2,38.54,19.33,False
2nd Floor Lobby,41.0,20.0,7.6,43.58,0.25,59.13,37.42,False
2nd Floor Lobby,39.0,18.0,7.6,33.14,0.33,27.59,17.14,False
Lab 103,16.0,24.0,4.4,12.37,1.0,36.53,16.42,False
Lecture Hall XXVI,45.0,27.0,4.4,1.41,1.0,9.33,3.97,True
Lecture Hall XXVI,45.0,25.0,4.4,3.16,0.8,16.86,3.03,True
Lecture Hall XXVI,49.0,26.0,4.4,3.61,0.8,16.09,5.03,True
Lecture Hall XXVI,47.0,28.0,4.4,1.0,1.0,9.89,3.03,True
Lecture Hall XXVI,42.0,22.0,4.4,7.21,1.0,10.22,3.03,True
Lecture Hall XXVI,48.0,23.0,4.4,5.39,1.0,14.41,8.03,True
Lecture Hall XXVI,39.0,23.0,4.4,8.6,1.0,28.1,15.97,True
Lecture Hall XXVI,47.0,24.0,4.4,4.12,1.0,7.9,4.03,True
Lecture Hall XXVI,48.0,24.0,4.4,4.47,1.0,15.18,9.03,True
Lecture Hall XXVI,45.0,22.0,4.4,6.08,0.8,18.61,8.03,True
Lecture Hall XXVI,48.0,22.0,4.4,6.32,1.0,12.47,7.03,True
Lecture Hall XXVI,42.0,26.0,4.4,4.47,1.0,5.99,3.97,True
Lecture Hall XXVI,41.0,24.0,4.4,6.4,1.0,13.44,6.97,True
Lecture Hall XXVI,43.0,25.0,4.4,4.24,1.0,6.88,4.03,True
Lecture Hall XXVI,43.0,23.0,4.4,5.83,1.0,6.1,1.03,True
Lecture Hall XXVI,44.0,24.0,4.4,4.47,1.0,7.43,4.97,True
Lecture Hall XXVI,46.0,23.0,4.4,5.0,1.0,16.83,11.03,True
Lecture Hall XXVI,46.0,24.0,4.4,4.0,1.0,10.13,6.03,True
Lecture Hall XXVI,47.0,22.0,4.4,6.08,1.0,7.29,1.97,True
Lecture Hall XXVI,45.0,23.0,4.4,5.1,1.0,15.25,9.03,True
Lecture Hall XXVI,42.0,28.0,4.4,4.0,1.0,8.4,3.97,True
Lecture Hall XXVI,42.0,23.0,4.4,6.4,0.8,17.03,8.97,True
Lecture Hall XXVI,43.0,27.0,4.4,3.16,1.0,8.34,1.97,True
Lecture Hall XXVI,44.0,25.0,4.4,3.61,1.0,9.13,2.97,True
Lecture Hall XXVI,44.0,22.0,4.4,6.32,1.0,6.01,1.03,True
Lecture Hall XXVI,45.0,26.0,4.4,2.24,1.0,13.82,2.03,True
Lecture Hall XXVI,42.0,25.0,4.4,5.0,1.0,11.99,7.97,True
Lecture Hall XXVI,40.0,25.0,4.4,6.71,1.0,16.07,10.97,True
Lecture Hall XXVI,46.0,22.0,4.4,6.0,1.0,10.02,2.03,True
Lecture Hall XXVI,49.0,23.0,4.4,5.83,1.0,11.31,7.03,True
Lecture Hall XXVI,42.0,27.0,4.4,4.12,1.0,3.85,1.03,True
Lecture Hall XXVI,39.0,24.0,4.4,8.06,1.0,22.51,14.97,True
Lecture Hall XXVI,47.0,25.0,4.4,3.16,0.8,13.89,5.03,True
Lecture Hall XXVI,43.0,24.0,4.4,5.0,1.0,13.84,8.97,True
Lecture Hall XXVI,47.0,27.0,4.4,1.41,1.0,5.62,1.97,True
Lecture Hall XXVI,43.0,22.0,4.4,6.71,1.0,8.24,3.97,True
Lecture Hall XXVI,48.0,25.0,4.4,3.61,1.0,3.67,0.03,True
Lecture Hall XXVI,40.0,27.0,4.4,6.08,1.0,20.57,13.97,True
Lecture Hall XXVI,46.0,27.0,4.4,1.0,1.0,17.79,9.03,True
Lecture Hall XXVI,39.0,22.0,4.4,9.22,1.0,19.09,5.97,True
Lecture Hall XXVI,44.0,28.0,4.4,2.0,1.0,10.21,5.97,True
Lecture Hall XXVI,41.0,27.0,4.4,5.1,1.0,21.08,12.97,True
Lecture Hall XXVI,49.0,25.0,4.4,4.24,1.0,18.61,10.03,True
Lecture Hall XXVI,40.0,22.0,4.4,8.49,1.0,10.84,0.97,True
Lecture Hall XXVI,48.0,28.0,4.4,2.0,1.0,19.47,9.03,True
Lecture Hall XXVI,49.0,22.0,4.4,6.71,1.0,13.25,2.03,True
Lecture Hall XXVI,47.0,23.0,4.4,5.1,1.0,7.77,2.97,True
Lecture Hall XXVI,48.0,27.0,4.4,2.24,1.0,8.18,3.03,True
Lecture Hall XXVI,42.0,24.0,4.4,5.66,1.0,7.37,0.03,True
Lecture Hall XXVI,48.0,26.0,4.4,2.83,0.8,23.2,14.03,True
Lecture Hall XXVI,49.0,24.0,4.4,5.0,1.0,16.7,10.03,True
Lecture Hall XXVI,41.0,22.0,4.4,7.81,1.0,11.39,3.03,True
Lecture Hall XXVI,40.0,23.0,4.4,7.81,1.0,13.24,8.97,True
Lecture Hall XXVI,45.0,24.0,4.4,4.12,1.0,22.1,12.03,True
Lecture Hall XXVI,39.0,26.0,4.4,7.28,1.0,12.93,2.97,True
Lecture Hall XXVI,40.0,24.0,4.4,7.21,1.0,10.89,6.97,True
Lecture Hall XXVI,39.0,25.0,4.4,7.62,1.0,15.27,1.97,True
Lecture Hall XXVI,39.0,28.0,4.4,7.0,1.0,15.14,0.97,True
Office 107b,3.0,3.0,4.4,2.0,1.0,11.02,6.42,True
Lecture Hall 205,3.0,10.0,7.6,5.0,0.71,29.03,0.4,True
Lecture Hall XXVI,46.0,28.0,4.4,0.0,0.8,13.86,4.03,True
Lecture Hall XXVI,40.0,28.0,4.4,6.0,1.0,9.0,4.97,True
Lecture Hall XXVI,44.0,27.0,4.4,2.24,0.8,14.58,3.97,True
Lecture Hall XXVI,39.0,27.0,4.4,7.07,1.0,18.76,3.03,True
Lecture Hall XXVI,43.0,28.0,4.4,3.0,1.0,7.87,3.97,True
Lecture Hall XXVI,44.0,23.0,4.4,5.39,1.0,11.14,8.03,True
Lecture Hall XXVI,40.0,26.0,4.4,6.32,1.0,19.98,11.97,True
Lecture Hall XXVI,44.0,26.0,4.4,2.83,1.0,5.34,0.97,True
Lecture Hall XXVI,41.0,26.0,4.4,5.39,1.0,5.48,1.03,True
Lecture Hall XXVI,43.0,26.0,4.4,3.61,0.8,20.73,7.03,True
Lecture Hall XXVI,46.0,25.0,4.4,3.0,1.0,15.11,7.03,True
Lecture Hall XXVI,45.0,28.0,4.4,1.0,1.0,9.54,1.03,True
Lecture Hall XXVI,41.0,25.0,4.4,5.83,1.0,17.6,8.97,True
Office 107b,2.0,4.0,4.4,1.41,1.0,9.17,4.42,True
Office 107b,4.0,1.0,4.4,3.61,1.0,12.24,4.58,True
Office 107b,1.0,5.0,4.4,2.0,1.0,23.62,14.58,True
Office 107b,4.0,2.0,4.4,3.16,1.0,10.43,5.42,True
Office 107b,4.0,6.0,4.4,4.24,1.0,16.44,9.58,True
Office 107b,1.0,6.0,4.4,3.0,1.0,7.23,5.58,True
Office 107b,4.0,4.0,4.4,3.16,1.0,5.43,2.58,True
Office 107b,3.0,4.0,4.4,2.24,1.0,9.39,0.42,True
Office 107b,3.0,6.0,4.4,3.61,1.0,19.53,9.58,True
Office 107b,2.0,6.0,4.4,3.16,1.0,2.23,0.42,True
Office 107b,4.0,5.0,4.4,3.61,1.0,21.62,13.58,True
Office 107b,2.0,5.0,4.4,2.24,1.0,7.81,1.42,True
Office 107b,4.0,3.0,4.4,3.0,1.0,9.95,6.42,True
Lecture Hall XXVI,41.0,28.0,4.4,5.0,1.0,12.72,8.97,True
Office 107b,2.0,3.0,4.4,1.0,1.0,12.95,5.42,True
Lecture Hall XXVI,41.0,23.0,4.4,7.07,1.0,8.46,5.97,True
Office 107b,1.0,2.0,4.4,1.0,1.0,19.23,13.42,True
Lecture Hall 205,5.0,12.0,7.6,2.24,0.86,20.5,3.4,True
Lecture Hall XXVI,49.0,28.0,4.4,3.0,1.0,17.51,8.03,True
Office 107b,1.0,4.0,4.4,1.0,1.0,11.89,0.42,True
Office 107b,2.0,1.0,4.4,2.24,1.0,12.78,5.42,True
Office 107b,3.0,2.0,4.4,2.24,1.0,8.22,4.58,True
Office 107b,1.0,1.0,4.4,2.0,1.0,12.76,6.42,True
Office 107b,3.0,5.0,4.4,2.83,1.0,9.55,4.58,True
Office 107b,2.0,2.0,4.4,1.41,1.0,12.34,5.42,True
Office 107b,1.0,3.0,4.4,0.0,1.0,20.2,8.42,True
Lecture Hall 205,4.0,17.0,7.6,5.0,1.0,14.42,8.6,True
Lecture Hall 205,1.0,15.0,7.6,6.32,1.0,16.74,6.4,True
Lecture Hall 205,2.0,12.0,7.6,5.1,0.71,21.34,9.4,True
Lecture Hall 205,6.0,17.0,7.6,4.12,1.0,18.27,8.6,True
Lecture Hall 205,2.0,17.0,7.6,6.4,1.0,15.46,3.4,True
Lecture Hall 205,3.0,15.0,7.6,4.47,1.0,14.85,9.4,True
Lecture Hall 205,3.0,13.0,7.6,4.0,1.0,8.93,3.4,True
Lecture Hall 205,5.0,17.0,7.6,4.47,1.0,8.86,0.6,True
Lecture Hall 205,6.0,13.0,7.6,1.0,1.0,15.12,11.6,True
Lecture Hall 205,3.0,17.0,7.6,5.66,1.0,11.63,4.4,True
Lecture Hall 205,6.0,18.0,7.6,5.1,1.0,13.9,0.4,True
Lecture Hall 205,2.0,16.0,7.6,5.83,1.0,12.81,6.4,True
Lecture Hall 205,5.0,13.0,7.6,2.0,1.0,15.28,5.6,True
Lecture Hall 205,7.0,18.0,7.6,5.0,1.0,17.88,3.4,True
Lecture Hall 205,2.0,14.0,7.6,5.1,0.86,17.79,7.4,True
