room,x,y,z,dist,correlation,diff,beacon,present
Lecture Hall 205,3.0,18.0,7.6,6.4,1.0,24.46,12.4,True
Lecture Hall 205,3.0,11.0,7.6,4.47,1.0,16.71,2.6,True
Lecture Hall 205,5.0,11.0,7.6,2.83,1.0,11.83,3.4,True
Lecture Hall 205,1.0,16.0,7.6,6.71,0.71,33.09,12.4,True
Office 107b,3.0,1.0,4.4,2.83,1.0,8.49,0.58,True
Lecture Hall 205,5.0,18.0,7.6,5.39,1.0,17.54,5.6,True
Lecture Hall 205,6.0,16.0,7.6,3.16,1.0,15.17,9.6,True
Lecture Hall 205,6.0,10.0,7.6,3.16,0.86,17.5,8.6,True
Lecture Hall 205,6.0,11.0,7.6,2.24,0.86,19.75,10.6,True
Lecture Hall 205,2.0,18.0,7.6,7.07,1.0,15.9,11.4,True
Lecture Hall 205,4.0,10.0,7.6,4.24,1.0,17.36,12.6,True
Lecture Hall 205,2.0,13.0,7.6,5.0,0.86,14.01,6.4,True
Lecture Hall 205,1.0,12.0,7.6,6.08,0.57,21.71,10.4,True
Lecture Hall 205,7.0,16.0,7.6,3.0,1.0,28.78,12.6,True
Lecture Hall 205,4.0,18.0,7.6,5.83,1.0,14.91,5.6,True
Lecture Hall 205,2.0,11.0,7.6,5.39,0.71,15.61,2.4,True
Lecture Hall 205,5.0,16.0,7.6,3.61,1.0,15.74,1.6,True
Lecture Hall 205,2.0,15.0,7.6,5.39,1.0,9.47,0.6,True
Lecture Hall 205,3.0,16.0,7.6,5.0,1.0,10.11,2.4,True
Lecture Hall 205,6.0,12.0,7.6,1.41,1.0,21.72,10.6,True
Lecture Hall 205,6.0,14.0,7.6,1.41,1.0,12.17,6.6,True
Lecture Hall 205,1.0,10.0,7.6,6.71,0.86,26.84,0.4,True
Lecture Hall 205,4.0,11.0,7.6,3.61,1.0,7.31,6.6,True
Lecture Hall 205,1.0,17.0,7.6,7.21,1.0,21.41,18.4,True
Lecture Hall 205,7.0,10.0,7.6,3.0,1.0,19.07,3.6,True
Lecture Hall 205,5.0,10.0,7.6,3.61,1.0,10.06,3.6,True
Lecture Hall 205,1.0,18.0,7.6,7.81,1.0,6.15,1.4,True
Lecture Hall 205,3.0,14.0,7.6,4.12,0.86,27.03,1.4,True
Lecture Hall 205,7.0,15.0,7.6,2.0,1.0,17.6,15.4,True
Lecture Hall 205,7.0,17.0,7.6,4.0,1.0,17.13,2.6,True
Lecture Hall 205,4.0,13.0,7.6,3.0,0.86,16.17,9.4,True
Lecture Hall 205,4.0,12.0,7.6,3.16,0.86,14.33,4.4,True
Lecture Hall 205,6.0,15.0,7.6,2.24,1.0,10.58,1.4,True
Lecture Hall 205,5.0,15.0,7.6,2.83,1.0,13.65,8.4,True
Lecture Hall 205,2.0,10.0,7.6,5.83,1.0,9.93,6.6,True
Lecture Hall XXVI,49.0,27.0,4.4,3.16,1.0,12.33,7.03,True
Lecture Hall 205,4.0,15.0,7.6,3.61,1.0,12.16,3.4,True
Lecture Hall 205,1.0,11.0,7.6,6.32,1.0,16.68,0.4,True
Lab 103,17.0,26.0,4.4,2.24,1.0,8.27,1.61,True
Lecture Hall 205,5.0,14.0,7.6,2.24,1.0,14.58,9.6,True
Lecture Hall 205,3.0,12.0,7.6,4.12,0.86,29.0,6.6,True
Lecture Hall 205,1.0,14.0,7.6,6.08,1.0,7.67,2.4,True
Lecture Hall 205,4.0,14.0,7.6,3.16,0.86,17.33,8.6,True
Lecture Hall 205,7.0,14.0,7.6,1.0,1.0,16.31,6.4,True
Lecture Hall 205,1.0,13.0,7.6,6.0,0.86,11.14,0.6,True
Lecture Hall 205,7.0,13.0,7.6,0.0,1.0,14.35,0.4,True
Lab 106,4.0,10.0,4.4,2.24,1.0,6.86,1.67,True
Lab 106,2.0,13.0,4.4,2.0,1.0,8.68,0.33,True
Lab 106,2.0,10.0,4.4,1.0,0.9,8.31,0.33,True
Lab 106,1.0,10.0,4.4,1.41,1.0,17.34,9.33,True
Lab 106,2.0,12.0,4.4,1.0,0.9,10.41,0.33,True
Lab 106,5.0,11.0,4.4,3.0,1.0,7.76,0.33,True
Lab 106,6.0,12.0,4.4,4.12,1.0,15.81,6.67,True
Lab 106,3.0,10.0,4.4,1.41,0.9,11.42,1.33,True
Lab 106,5.0,10.0,4.4,3.16,1.0,10.49,3.67,True
Lab 106,4.0,12.0,4.4,2.24,0.9,10.51,0.33,True
Lab 106,3.0,11.0,4.4,1.0,1.0,8.99,2.67,True
Lab 106,1.0,12.0,4.4,1.41,1.0,10.69,5.33,True
Lab 106,6.0,10.0,4.4,4.12,1.0,25.7,14.67,True
Lab 106,3.0,12.0,4.4,1.41,1.0,7.14,0.67,True
Lab 106,6.0,13.0,4.4,4.47,1.0,5.33,0.67,True
Lab 106,4.0,11.0,4.4,2.0,1.0,6.13,1.33,True
Lab 106,1.0,11.0,4.4,1.0,0.9,8.82,1.33,True
Lab 106,3.0,13.0,4.4,2.24,1.0,13.12,6.33,True
Lab 106,6.0,11.0,4.4,4.0,1.0,18.27,10.67,True
Lecture Hall 205,7.0,11.0,7.6,2.0,0.86,23.23,13.6,True
Lab 106,1.0,13.0,4.4,2.24,1.0,12.34,2.33,True
Lab 106,5.0,12.0,4.4,3.16,1.0,9.01,0.67,True
Lab 106,5.0,13.0,4.4,3.61,0.9,13.8,7.33,True
Lab 102,27.0,23.0,4.4,4.12,1.0,9.83,1.42,True
Lab 106,2.0,11.0,4.4,0.0,1.0,11.21,3.33,True
Lab 102,28.0,23.0,4.4,4.0,1.0,11.06,6.58,True
Lab 102,27.0,28.0,4.4,1.41,1.0,9.41,1.42,True
Lab 102,26.0,26.0,4.4,2.24,1.0,10.96,0.42,True
Lab 102,26.0,22.0,4.4,5.39,1.0,5.18,1.58,True
Lab 102,25.0,26.0,4.4,3.16,1.0,13.77,2.42,True
Lab 102,25.0,22.0,4.4,5.83,0.86,24.23,19.42,True
Lab 102,25.0,27.0,4.4,3.0,1.0,12.92,4.42,True
Lab 102,25.0,25.0,4.4,3.61,1.0,12.73,5.42,True
Lab 102,26.0,28.0,4.4,2.24,1.0,8.04,3.58,True
Lab 102,27.0,22.0,4.4,5.1,1.0,6.07,0.42,True
Lab 102,26.0,23.0,4.4,4.47,1.0,16.53,8.58,True
Lab 102,26.0,27.0,4.4,2.0,1.0,4.82,3.42,True
Lab 102,25.0,28.0,4.4,3.16,1.0,16.33,9.42,True
Lab 102,28.0,24.0,4.4,3.0,1.0,12.35,1.42,True
Lab 102,26.0,24.0,4.4,3.61,1.0,10.61,3.58,True
Lab 102,27.0,27.0,4.4,1.0,1.0,14.1,8.58,True
Lab 102,27.0,24.0,4.4,3.16,1.0,16.47,1.42,True
Lab 102,28.0,25.0,4.4,2.0,0.86,22.82,19.42,True
Lab 102,27.0,25.0,4.4,2.24,1.0,20.85,3.42,True
Lab 102,28.0,22.0,4.4,5.0,1.0,15.09,1.42,True
Lab 102,25.0,23.0,4.4,5.0,1.0,7.83,1.58,True
Lab 102,26.0,25.0,4.4,2.83,1.0,18.19,6.58,True
Lab 102,28.0,28.0,4.4,1.0,1.0,13.89,1.42,True
Lab 102,27.0,26.0,4.4,1.41,1.0,13.52,1.58,True
Lab 102,28.0,26.0,4.4,1.0,1.0,13.19,3.58,True
Lab 102,25.0,24.0,4.4,4.24,1.0,14.73,9.42,True
Lecture Hall 205,7.0,12.0,7.6,1.0,1.0,14.03,5.6,True
Lab 102,28.0,27.0,4.4,0.0,1.0,6.97,1.58,True
Lab 103,24.0,26.0,4.4,5.1,1.0,21.47,12.39,True
Lab 106,4.0,13.0,4.4,2.83,1.0,12.85,2.33,True
Lab 103,16.0,25.0,4.4,3.61,1.0,11.14,5.61,True
Lab 103,21.0,26.0,4.4,2.24,1.0,11.72,5.39,True
Lab 103,14.0,26.0,4.4,5.1,0.57,21.18,7.61,True
Lab 103,18.0,23.0,4.4,4.12,1.0,9.87,4.39,True
Lab 103,17.0,25.0,4.4,2.83,1.0,6.77,0.39,True
Lab 103,15.0,24.0,4.4,5.0,1.0,13.35,8.61,True
Lab 103,24.0,25.0,4.4,5.39,1.0,12.76,4.39,True
Lab 103,24.0,28.0,4.4,5.1,1.0,15.78,1.39,True
Lab 103,13.0,28.0,4.4,6.08,0.86,15.87,7.61,True
Lab 103,18.0,27.0,4.4,1.0,1.0,16.06,8.39,True
Lab 103,24.0,22.0,4.4,7.07,0.86,16.69,5.39,True
Lab 103,14.0,28.0,4.4,5.1,1.0,9.8,2.61,True
Lab 103,20.0,24.0,4.4,3.16,1.0,11.81,2.61,True
Lab 103,17.0,27.0,4.4,2.0,1.0,7.49,4.61,True
Lab 103,11.0,26.0,4.4,8.06,0.71,19.84,5.61,True
Lab 103,11.0,23.0,4.4,8.94,0.86,17.68,5.61,True
Lab 103,20.0,25.0,4.4,2.24,1.0,15.39,4.61,True
Lab 103,22.0,26.0,4.4,3.16,1.0,18.9,7.39,True
Lab 103,17.0,24.0,4.4,3.61,1.0,6.85,2.61,True
Lab 103,14.0,25.0,4.4,5.39,0.71,19.1,6.61,True
Lab 103,19.0,23.0,4.4,4.0,1.0,13.69,0.61,True
Lab 103,21.0,28.0,4.4,2.24,1.0,11.98,4.39,True
Lab 103,23.0,22.0,4.4,6.4,1.0,22.57,11.39,True
Lab 103,22.0,25.0,4.4,3.61,1.0,19.61,9.39,True
Lab 103,23.0,21.0,4.4,7.21,1.0,11.78,5.39,True
Lab 103,21.0,23.0,4.4,4.47,1.0,13.96,7.39,True
Lab 103,16.0,23.0,4.4,5.0,1.0,6.16,1.61,True
Lab 103,13.0,23.0,4.4,7.21,0.86,15.1,2.39,True
Lab 101,30.0,23.0,4.4,7.28,1.0,14.93,8.36,True
Lab 104,2.0,23.0,4.4,5.83,1.0,2.29,0.86,True
Lab 103,10.0,26.0,4.4,9.06,0.57,17.44,0.61,True
Lab 103,18.0,28.0,4.4,1.41,1.0,6.76,3.39,True
Lab 103,22.0,27.0,4.4,3.0,1.0,16.8,1.39,True
Lab 103,20.0,26.0,4.4,1.41,1.0,6.27,1.39,True
Lab 103,24.0,27.0,4.4,5.0,1.0,18.85,8.39,True
Lab 103,16.0,28.0,4.4,3.16,1.0,9.0,5.39,True
Lab 103,19.0,25.0,4.4,2.0,1.0,13.26,2.39,True
Lab 103,15.0,26.0,4.4,4.12,1.0,11.32,3.61,True
Lab 103,12.0,28.0,4.4,7.07,0.71,18.34,4.39,True
Lab 103,10.0,23.0,4.4,9.85,0.86,19.23,10.61,True
Lab 103,12.0,24.0,4.4,7.62,1.0,27.89,15.61,True
Lab 103,24.0,23.0,4.4,6.4,1.0,18.2,6.39,True
Lab 103,16.0,26.0,4.4,3.16,0.86,11.71,2.61,True
Lab 103,17.0,22.0,4.4,5.39,1.0,6.26,1.39,True
Lab 103,18.0,22.0,4.4,5.1,1.0,4.8,1.61,True
Lab 103,14.0,27.0,4.4,5.0,0.86,19.95,4.61,True
Lab 103,12.0,26.0,4.4,7.07,1.0,16.98,4.61,True
Lab 103,14.0,23.0,4.4,6.4,1.0,26.09,15.61,True
Lab 103,12.0,25.0,4.4,7.28,1.0,16.76,7.61,True
Lab 103,20.0,23.0,4.4,4.12,0.86,16.83,7.39,True
Lab 103,11.0,27.0,4.4,8.0,0.86,12.07,3.39,True
Lab 103,13.0,24.0,4.4,6.71,0.71,15.07,1.61,True
Lab 103,15.0,22.0,4.4,6.4,1.0,10.22,4.61,True
Lab 103,21.0,27.0,4.4,2.0,1.0,14.62,7.39,True
Lab 103,21.0,25.0,4.4,2.83,0.86,15.74,6.39,True
Lab 103,23.0,28.0,4.4,4.12,1.0,9.13,0.61,True
Lab 103,15.0,27.0,4.4,4.0,1.0,4.93,1.61,True
Lab 103,19.0,26.0,4.4,1.0,1.0,5.28,0.39,True
Lab 103,21.0,24.0,4.4,3.61,1.0,10.96,3.39,True
Lab 103,12.0,27.0,4.4,7.0,1.0,22.76,13.61,True
Lab 103,18.0,26.0,4.4,1.41,1.0,7.47,3.39,True
Lab 103,20.0,27.0,4.4,1.0,1.0,8.04,4.39,True
Lab 103,10.0,22.0,4.4,10.3,0.86,25.7,10.61,True
Lab 103,23.0,26.0,4.4,4.12,0.86,29.0,14.39,True
Lab 103,11.0,22.0,4.4,9.43,1.0,26.05,14.61,True
Lab 103,20.0,22.0,4.4,5.1,1.0,14.41,5.39,True
Lab 103,22.0,28.0,4.4,3.16,1.0,11.1,2.39,True
Lab 103,24.0,21.0,4.4,7.81,1.0,11.51,2.39,True
Lab 103,13.0,26.0,4.4,6.08,1.0,16.64,8.61,True
Lab 103,15.0,23.0,4.4,5.66,1.0,16.81,9.61,True
Lab 103,12.0,22.0,4.4,8.6,1.0,12.39,4.61,True
Lab 103,13.0,22.0,4.4,7.81,0.86,16.8,6.61,True
Lab 103,11.0,24.0,4.4,8.54,1.0,23.37,13.61,True
Lab 103,16.0,22.0,4.4,5.83,1.0,10.24,0.61,True
Lab 103,10.0,24.0,4.4,9.49,1.0,13.48,4.39,True
Lab 103,23.0,24.0,4.4,5.0,0.86,21.13,12.39,True
Lab 103,13.0,27.0,4.4,6.0,0.86,21.59,9.61,True
Lab 103,24.0,24.0,4.4,5.83,1.0,16.68,1.61,True
Lab 103,23.0,25.0,4.4,4.47,1.0,16.61,10.39,True
Lab 103,22.0,23.0,4.4,5.0,1.0,17.32,10.39,True
Lab 103,14.0,22.0,4.4,7.07,1.0,17.54,8.61,True
Lab 103,16.0,27.0,4.4,3.0,1.0,4.63,0.39,True
Lab 103,16.0,24.0,4.4,4.24,1.0,13.77,4.61,True
Lab 103,18.0,24.0,4.4,3.16,1.0,12.28,7.39,True
Lab 103,15.0,25.0,4.4,4.47,1.0,11.36,4.61,True
Lab 103,13.0,25.0,4.4,6.32,0.71,15.07,3.39,True
Lab 103,22.0,22.0,4.4,5.83,1.0,19.43,6.39,True
Lab 101,36.0,23.0,4.4,2.24,1.0,13.41,6.36,True
Lab 103,10.0,28.0,4.4,9.06,0.43,18.98,1.39,True
Lab 101,34.0,28.0,4.4,4.24,0.75,14.92,1.36,True
Lab 101,30.0,28.0,4.4,7.62,1.0,9.75,4.36,True
Lab 103,22.0,24.0,4.4,4.24,0.86,20.37,9.39,True
Lab 103,11.0,25.0,4.4,8.25,0.86,20.65,12.61,True
Lab 103,18.0,25.0,4.4,2.24,1.0,9.89,5.39,True
Lab 103,17.0,23.0,4.4,4.47,1.0,8.7,1.39,True
Lab 103,23.0,23.0,4.4,5.66,1.0,17.05,8.39,True
Lab 103,15.0,28.0,4.4,4.12,0.86,11.88,3.61,True
Lab 103,19.0,24.0,4.4,3.0,1.0,11.83,1.39,True
Lab 103,21.0,22.0,4.4,5.39,1.0,11.02,5.39,True
Lab 103,12.0,23.0,4.4,8.06,1.0,27.6,16.61,True
Lab 103,10.0,27.0,4.4,9.0,0.86,17.33,0.61,True
Lab 103,19.0,22.0,4.4,5.0,1.0,4.35,0.61,True
Lab 101,37.0,26.0,4.4,1.0,1.0,14.81,7.64,True
Lab 103,19.0,27.0,4.4,0.0,1.0,7.7,2.61,True
Lab 101,32.0,27.0,4.4,5.39,1.0,8.08,3.64,True
Lab 101,37.0,28.0,4.4,3.0,0.88,13.23,2.64,True
Lab 101,32.0,28.0,4.4,5.83,1.0,15.92,10.64,True
Lab 101,33.0,23.0,4.4,4.47,1.0,19.69,11.36,True
Lab 101,30.0,22.0,4.4,7.62,0.88,16.87,9.36,True
Lab 101,31.0,27.0,4.4,6.32,1.0,10.1,1.64,True
Lab 101,33.0,26.0,4.4,4.12,1.0,12.11,0.36,True
Lab 101,31.0,26.0,4.4,6.08,1.0,5.25,0.36,True
Lab 101,32.0,22.0,4.4,5.83,1.0,20.6,12.36,True
Lab 101,34.0,24.0,4.4,3.16,1.0,18.04,6.64,True
Lab 101,29.0,23.0,4.4,8.25,1.0,20.66,11.36,True
Lecture Hall XXVI,47.0,26.0,4.4,2.24,0.6,16.21,2.97,True
Lab 104,7.0,26.0,4.4,0.0,1.0,5.84,4.14,True
Lecture Hall 205,4.0,16.0,7.6,4.24,1.0,12.62,2.6,True
Lab 103,22.0,21.0,4.4,6.71,1.0,13.8,8.39,True
Lab 103,19.0,28.0,4.4,1.0,1.0,3.86,0.39,True
Lab 103,17.0,28.0,4.4,2.24,0.86,10.77,2.39,True
Lab 101,35.0,26.0,4.4,2.24,0.75,15.73,7.36,True
Lab 101,29.0,25.0,4.4,8.0,1.0,8.47,2.36,True
Lab 101,32.0,23.0,4.4,5.39,1.0,15.88,7.36,True
Lab 101,36.0,24.0,4.4,1.41,1.0,10.77,2.64,True
Lab 101,30.0,25.0,4.4,7.0,1.0,12.71,5.36,True
Lab 101,36.0,22.0,4.4,3.16,0.88,19.6,10.64,True
Lab 101,36.0,26.0,4.4,1.41,1.0,13.1,8.36,True
Lab 101,29.0,24.0,4.4,8.06,1.0,7.24,4.36,True
Lab 101,33.0,27.0,4.4,4.47,1.0,15.24,2.64,True
Lab 101,31.0,24.0,4.4,6.08,1.0,4.14,2.36,True
Lab 101,34.0,22.0,4.4,4.24,1.0,12.21,5.36,True
Lab 101,29.0,22.0,4.4,8.54,0.88,17.91,2.36,True
Lab 101,36.0,28.0,4.4,3.16,1.0,7.82,0.64,True
Lab 101,38.0,23.0,4.4,2.24,1.0,32.29,20.64,True
Lab 101,36.0,27.0,4.4,2.24,0.88,9.5,2.36,True
Lab 101,33.0,28.0,4.4,5.0,1.0,11.57,5.36,True
Lab 101,35.0,23.0,4.4,2.83,0.88,12.24,3.64,True
Lab 101,30.0,24.0,4.4,7.07,1.0,14.09,9.36,True
Lab 101,34.0,25.0,4.4,3.0,0.88,17.13,7.64,True
Lab 101,35.0,28.0,4.4,3.61,0.62,19.24,8.36,True
Lab 101,35.0,25.0,4.4,2.0,0.88,15.51,2.64,True
Lab 101,37.0,24.0,4.4,1.0,1.0,23.96,15.64,True
Lab 101,29.0,27.0,4.4,8.25,1.0,7.33,0.36,True
Lab 101,37.0,27.0,4.4,2.0,0.88,13.77,1.64,True
Lab 101,38.0,22.0,4.4,3.16,1.0,27.07,10.64,True
Lab 101,29.0,28.0,4.4,8.54,1.0,7.7,1.36,True
Lab 101,30.0,26.0,4.4,7.07,1.0,19.71,8.36,True
Lab 101,38.0,26.0,4.4,1.41,0.88,15.75,7.36,True
Lab 103,23.0,27.0,4.4,4.0,1.0,14.64,7.39,True
Lab 103,20.0,28.0,4.4,1.41,1.0,13.04,8.39,True
Lab 103,10.0,25.0,4.4,9.22,0.71,18.81,0.39,True
Lab 103,14.0,24.0,4.4,5.83,0.71,19.03,12.61,True
Lab 101,34.0,23.0,4.4,3.61,1.0,4.15,1.36,True
Lab 101,33.0,22.0,4.4,5.0,1.0,19.73,11.36,True
Lab 101,34.0,26.0,4.4,3.16,1.0,18.77,3.64,True
Lab 101,35.0,22.0,4.4,3.61,0.88,10.49,3.36,True
Lab 101,31.0,28.0,4.4,6.71,1.0,9.3,2.64,True
Lab 101,32.0,24.0,4.4,5.1,1.0,12.15,8.36,True
Lab 101,29.0,26.0,4.4,8.06,1.0,9.77,0.36,True
Lab 101,38.0,28.0,4.4,3.16,0.75,11.83,0.36,True
Lab 101,35.0,24.0,4.4,2.24,0.88,12.25,3.36,True
Lab 101,38.0,25.0,4.4,1.0,0.88,31.79,19.64,True
Lab 101,30.0,27.0,4.4,7.28,0.88,10.15,0.64,True
Lab 101,32.0,25.0,4.4,5.0,1.0,10.93,1.64,True
Lab 101,32.0,26.0,4.4,5.1,1.0,8.57,3.36,True
Lab 101,34.0,27.0,4.4,3.61,1.0,15.03,0.36,True
Lab 101,36.0,25.0,4.4,1.0,1.0,9.86,3.64,True
Lab 101,37.0,23.0,4.4,2.0,1.0,22.68,13.64,True
Lab 101,37.0,22.0,4.4,3.0,1.0,27.07,16.64,True
Lab 101,38.0,27.0,4.4,2.24,0.62,21.0,12.64,True
Lab 101,31.0,22.0,4.4,6.71,1.0,7.05,2.36,True
Lab 101,31.0,23.0,4.4,6.32,1.0,5.41,1.36,True
Lab 101,31.0,25.0,4.4,6.0,1.0,7.92,2.64,True
Lab 101,33.0,24.0,4.4,4.12,1.0,9.3,2.64,True
Lab 101,33.0,25.0,4.4,4.0,1.0,7.06,2.36,True
Lab 101,37.0,25.0,4.4,0.0,1.0,10.41,5.64,True
Lab 115,22.0,18.0,4.4,6.32,0.78,21.21,11.66,True
Lab 115,24.0,15.0,4.4,4.12,1.0,10.47,6.34,True
Lab 115,25.0,16.0,4.4,3.0,1.0,25.29,8.66,True
Lab 115,28.0,15.0,4.4,1.0,0.78,20.78,12.34,True
Lab 115,23.0,15.0,4.4,5.1,1.0,11.81,2.34,True
Lab 115,27.0,18.0,4.4,2.24,1.0,12.76,6.34,True
Lab 115,23.0,18.0,4.4,5.39,1.0,12.9,8.66,True
Lab 115,21.0,15.0,4.4,7.07,1.0,15.3,5.34,True
Lab 115,21.0,18.0,4.4,7.28,1.0,14.29,4.66,True
Lab 115,22.0,16.0,4.4,6.0,1.0,4.88,0.34,True
Lab 115,22.0,17.0,4.4,6.08,1.0,13.01,2.34,True
Lab 115,23.0,17.0,4.4,5.1,0.78,19.51,8.66,True
Lab 115,22.0,15.0,4.4,6.08,0.89,15.32,7.34,True
Lab 115,21.0,16.0,4.4,7.0,0.56,27.53,13.66,True
Lab 115,27.0,16.0,4.4,1.0,1.0,11.84,5.34,True
Lab 115,27.0,15.0,4.4,1.41,1.0,18.26,11.34,True
Lab 115,24.0,18.0,4.4,4.47,1.0,15.11,6.66,True
Lab 115,25.0,15.0,4.4,3.16,1.0,13.76,6.34,True
Lab 115,28.0,18.0,4.4,2.0,1.0,15.4,1.34,True
Lab 115,26.0,16.0,4.4,2.0,0.89,11.0,2.34,True
Lab 115,24.0,16.0,4.4,4.0,1.0,8.44,4.34,True
Lab 115,26.0,18.0,4.4,2.83,0.78,9.93,2.66,True
Lab 115,26.0,15.0,4.4,2.24,0.78,19.11,10.34,True
Lab 115,27.0,17.0,4.4,1.41,0.78,13.23,0.66,True
Lab 115,24.0,17.0,4.4,4.12,0.78,14.44,1.66,True
Lab 115,25.0,18.0,4.4,3.61,1.0,8.33,0.34,True
Lab 115,26.0,17.0,4.4,2.24,0.89,13.82,4.66,True
Lab 115,25.0,17.0,4.4,3.16,0.89,19.56,11.66,True
Lab 115,28.0,17.0,4.4,1.0,0.89,13.77,6.66,True
Lab 115,23.0,16.0,4.4,5.0,0.89,12.94,3.34,True
Lab 115,21.0,17.0,4.4,7.07,1.0,16.01,8.66,True
Lab 115,28.0,16.0,4.4,0.0,1.0,22.68,11.34,True
Lab 104,2.0,28.0,4.4,5.39,1.0,3.64,1.86,True
Lab 104,3.0,26.0,4.4,4.0,1.0,9.97,6.14,True
Lab 104,2.0,26.0,4.4,5.0,0.67,12.83,7.14,True
Lab 101,35.0,27.0,4.4,2.83,0.62,19.19,8.36,True
Lab 104,3.0,22.0,4.4,5.66,1.0,7.66,4.14,True
Lab 104,5.0,26.0,4.4,2.0,1.0,4.01,1.86,True
Lab 104,8.0,27.0,4.4,1.41,1.0,5.26,4.14,True
Lab 104,2.0,22.0,4.4,6.4,1.0,11.98,6.14,True
Lab 104,2.0,24.0,4.4,5.39,1.0,8.22,5.14,True
Lab 104,7.0,27.0,4.4,1.0,1.0,4.41,1.86,True
Lab 104,4.0,24.0,4.4,3.61,1.0,4.88,3.14,True
Lab 104,4.0,27.0,4.4,3.16,1.0,1.85,1.14,True
Lab 104,8.0,28.0,4.4,2.24,1.0,4.83,3.14,True
Lab 104,6.0,24.0,4.4,2.24,1.0,9.94,6.86,True
Lab 104,3.0,25.0,4.4,4.12,0.67,15.15,9.14,True
Lab 104,7.0,23.0,4.4,3.0,1.0,15.04,9.86,True
Lab 104,7.0,28.0,4.4,2.0,1.0,1.55,0.14,True
Lab 104,4.0,26.0,4.4,3.0,0.67,12.83,7.14,True
Lab 104,1.0,28.0,4.4,6.32,1.0,1.92,1.14,True
Lab 104,1.0,25.0,4.4,6.08,1.0,5.45,2.14,True
Lab 104,6.0,27.0,4.4,1.41,1.0,2.83,0.86,True
Lab 104,5.0,24.0,4.4,2.83,1.0,8.23,4.86,True
Lab 104,1.0,26.0,4.4,6.0,1.0,4.52,3.14,True
Lab 104,9.0,26.0,4.4,2.0,1.0,0.87,0.86,True
Lab 104,7.0,22.0,4.4,4.0,1.0,23.53,15.86,True
Lab 104,9.0,24.0,4.4,2.83,1.0,4.85,3.86,True
Lab 104,1.0,27.0,4.4,6.08,1.0,4.31,3.14,True
Lab 104,2.0,25.0,4.4,5.1,1.0,6.62,3.14,True
Lab 104,6.0,22.0,4.4,4.12,1.0,13.53,8.86,True
Lab 104,8.0,22.0,4.4,4.12,1.0,8.67,5.86,True
Lab 104,1.0,23.0,4.4,6.71,1.0,2.81,1.86,True
Lab 101,38.0,24.0,4.4,1.41,0.88,11.22,2.64,True
Lab 104,8.0,24.0,4.4,2.24,1.0,5.48,1.14,True
Lab 103,11.0,28.0,4.4,8.06,0.71,19.49,4.39,True
Lab 104,6.0,25.0,4.4,1.41,1.0,11.46,6.86,True
Lab 104,8.0,23.0,4.4,3.16,1.0,7.91,4.86,True
Lab 104,8.0,26.0,4.4,1.0,1.0,1.55,0.86,True
Lab 104,9.0,22.0,4.4,4.47,1.0,15.22,9.86,True
Lab 104,5.0,27.0,4.4,2.24,0.67,7.93,0.14,True
Lab 104,5.0,28.0,4.4,2.83,1.0,4.83,3.14,True
Lab 104,2.0,27.0,4.4,5.1,1.0,3.79,1.14,True
Lab 104,3.0,24.0,4.4,4.47,1.0,15.55,10.14,True
Lab 104,6.0,23.0,4.4,3.16,1.0,5.07,0.14,True
Lab 104,9.0,27.0,4.4,2.24,1.0,1.48,1.14,True
Lab 104,4.0,25.0,4.4,3.16,1.0,4.83,2.86,True
Lab 104,4.0,22.0,4.4,5.0,1.0,6.14,1.14,True
Lab 104,6.0,26.0,4.4,1.0,1.0,5.25,2.86,True
Lab 104,4.0,28.0,4.4,3.61,1.0,1.63,0.86,True
Lab 104,1.0,22.0,4.4,7.21,1.0,12.22,8.14,True
Lab 104,7.0,24.0,4.4,2.0,1.0,7.82,5.14,True
Lab 104,7.0,25.0,4.4,1.0,1.0,5.66,2.86,True
Lab 104,8.0,25.0,4.4,1.41,1.0,2.27,0.86,True
Lab 104,5.0,25.0,4.4,2.24,1.0,2.33,0.86,True
Lab 104,6.0,28.0,4.4,2.24,1.0,7.87,5.86,True
Lab 104,9.0,25.0,4.4,2.24,1.0,1.55,0.86,True
Lab 104,5.0,23.0,4.4,3.61,1.0,12.3,5.86,True
Lab 104,3.0,28.0,4.4,4.47,1.0,6.12,1.86,True
Lab 104,9.0,23.0,4.4,3.61,1.0,12.54,8.86,True
Lab 104,5.0,22.0,4.4,4.47,1.0,5.58,3.86,True
Lab 104,1.0,24.0,4.4,6.32,1.0,5.49,2.14,True
Lab 104,3.0,27.0,4.4,4.12,0.67,19.55,13.14,True
Lab 104,4.0,23.0,4.4,4.24,1.0,2.86,1.86,True
Lab 104,3.0,23.0,4.4,5.0,1.0,6.5,4.14,True
Lab 104,9.0,28.0,4.4,2.83,1.0,6.58,4.14,True
Lecture Hall XXVI,46.0,26.0,4.4,2.0,1.0,12.03,4.03,True
